city,population,latitude,longitude
Delhi,29617000,28.66,77.23
Greater Bombay,23355000,18.9667,72.8333
Calcutta,17560000,22.5411,88.3378
Bangalore,13707000,12.9699,77.598
Madras,11324000,13.0825,80.275
Hyderabad,9746000,17.3667,78.4667
Ahmedabad,7410000,23.03,72.58
Lucknow,3382000,26.847,80.947
Jaipur,3073350,26.9167,75.8667
Bhopal,1883381,23.25,77.4167
Patna,1684222,25.61,85.1414
Srinagar,1180570,34.0911,74.8061
Ranchi,1073440,23.3556,85.3347
Chandigarh,1026459,30.7353,76.7911
Raipur,1010087,21.2379,81.6337
Dhubri,957352,26.15,91.77
Baleshwar,837737,20.2644,85.8281
Thiruvananthapuram,743691,8.5,76.8997
North Tripura,522613,23.8333,91.2667
Aizawl,283021,23.7104,92.72
Imphal,268243,24.82,93.95
Shimla,206575,31.1033,77.1722
Gandhinagar,195891,23.22,72.68
Jaintia Hills,143229,25.5744,91.8789
Andamans,127562,11.6667,92.75
North District,100286,27.33,88.62
Kohima,99039,25.6667,94.1194
Tirap,59490,27.1,93.62
North Goa,40017,15.48,73.83
Lakshadweep,10688,10.5626,72.6369